username,followers,following
christendominique,2144626,1021
christianziegler,127459,669
christinehmcconnell,597189,1576
christopherandersonphoto,289844,964
chuck,169331,672
cimkedi,162405,477
cintascotch,157251,529
ciriljazbec,203651,1960
civilking,1101085,357
claireonline,334921,994
clarecrawley,990453,1042
classiccarchasers,217959,751
colbybrownphotography,264885,5911
colerise,786646,1984
collagevintage,996046,1163
college_housewife,216468,1913
conrad_anker,458905,2496
coryrichards,961719,442
couturenotebook,876379,43
cozinhadalbo,152874,339
cravingsinamsterdam,127858,372
crazyjewishmom,573232,486
cristinamittermeier,0,0
croyable,364852,456
cucinadigitale,445848,655
culturizate,2130654,573
cyarine,1592960,1030
d.signers,4649203,48
daddyissues_,5634830,111
dailyfoodfeed,726270,360
daisyclementine,194772,453
dalalid,3230104,744
damselindior,34413,235
danbilzerian,32518855,420
dani_thorne,567386,2802
daniel_ernst,733914,672
dannibelle,1070768,630
dannyzappa,227772,546
danrubin,673403,3380
daveyoder,133227,127
davidalanharvey,449466,2713
daviddoubilet,420327,658
davidstea,324212,694
dawilda,134099,1023
deemabayyaa,1755532,637
deliciouslyella,2455296,596
deliscake,107406,57
deporloversteam,222414,140
der_landgraf,154875,2451
designdecor,195094,834
destination_wow,127782,96
destinationwolf,351168,1
devanondeck,545846,226
devourpower,1846940,1641
dguttenfelder,1158533,4245
diegobarrueco,459007,1417
digernes,145186,320
diipakhosla,2105859,997
diogopicarra,646535,2225
disney_nuts,201557,925
doctor.mike,4465420,675
doentesporfutebol,1704979,2554
doina,1384082,1070
donkarlito_,6,0
donnahaymagazine,447318,82
dotzsoh,1222251,362
doyoutravel,2156,1
drewtrush,264357,0
dulceida,3399895,966
dunk,2949324,1643
eatandshout,475224,326
eatfamous,282473,3135
eatingnyc,308500,762
eddypinto_,238664,4576
edkashi,294199,1354
el_kilombo,4841844,1015
elaine_yiu,814887,886
elensham,219213,340
elizabethgadd,184383,411
eljuanpazurita,45534,1
elliott.mae,103636,653
elliottsailors,91571,853
elsas_wholesomelife,30030,1
emily_katz,111004,3702
emilyschuman,602683,1298
emilyskyefit,2733098,997
emwng,236858,781
enjoyphoenix,6337528,563
epictravelpost,173272,115
erikjonesart,142420,1001
ernandaputra,508942,5527
erubes1,0,4
emilyskyefit,2733099,997
emwng,236858,781
enjoyphoenix,6337524,563
epictravelpost,173272,115
ernandaputra,508942,5527
erubes1,0,4
escolhiesperar,2022516,615
estonianna,215494,45
eternal_noir,2936,6
europe.vacations,289,1448
euvictornogueira,675181,2436
evakosmasflores,313204,5385
everlook_photography,175728,604
everythingeverywhere,180640,142
exoticsbrazil,425289,992
extremenature,551163,109
f1mike28,245079,300
faafirds,159259,371
faby_mamaedegemeos,273,183
faheeym,1040784,13
faktastisch,8148259,0
fantastic_earth,2724414,36
featureshoot,215607,2693
felicitegrace,1247407,1287
filippofiora,183683,1372
fit_trio,3181,13
fitopaezmusica,1338193,398
fitqueenirene,450006,1886
fixthisbuildthat,671471,256
flamuruk,297840,132
flettemamma,99075,149
fluffypack,682437,216
fozaza,1234160,724
framboisejam,410,212
francescocostagliola_,162485,4266
frangocombatatadoce,9413,3
frasibianche.it,108201,247
frenchiebutt,386644,90
frenchwords,651298,207
funforlouis,263,0
gabyespino,13907086,6111
galagonzalez,1745285,2217
garypeppergirl,9955,2
gatherandfeast,343664,800
gavinoneillphoto,139373,5513
gentslounge,435847,413
geosteinmetz,1105346,869
gerdludwig,365594,597
germanroamers,412580,39
giangi_81,559,895
gianmarcovalenza,396597,1023
giizeleoliveira,1376851,1530
giulianafortuna,417329,25
glencyfeliz,480985,1735
globe.travelpix,213172,48
goldenretrievers_,482849,1
goodnewsfeed,260276,20
gregsideris,169260,638
grungesource,75201,2
gui_,154202,1867
gurukafa,294254,1059
guy_tang,2375195,1826
guytang_mydentity,380633,1611
gwilymcpugh,281741,3589
gypsea_lust,2101107,954
hadiaghaleb,2564291,2362
hairgod_zito,477739,4327
